times,series,type,obj_id,color,longitude,latitude,elevation,heading
0,0,vehicle,car1,pink,106.4676246,29.5099075,0.0,90.0
0,0,vehicle,car2,blue,106.4676243,29.5098249,0.0,90.0
0,0,vehicle,car3,yellow,106.4672873,29.5098403,0.0,90.0
0,0,vehicle,car4,black,106.4671861,29.5099058,0.0,90.0
0,0,vehicle,car6,red,106.4674789,29.5097437,0.0,90.0
0,0,vehicle,car10,cyan,106.4674134,29.5100834,0.0,-90.0
0,0,vehicle,car11,orange,106.4680644,29.5100587,0.0,-105.0
0,0,vehicle,car13,blue,106.4693553,29.5101127,0.0,-90.0
0,0,vehicle,car15,green,106.4693443,29.5100272,0.0,-90.0
0,0,vehicle,car30,black,106.4683163,29.5108280,0.0,0.0
0,0,vehicle,car31,cyan,106.4684178,29.5106429,0.0,0.0
0,0,vehicle,car32,black,106.4682116,29.5106283,0.0,0.0
0,0,vehicle,car44,white,106.4687822,29.5092865,0.0,180.0
0,0,vehicle,car42,red,106.4685734,29.5089694,0.0,180.0
0,0,vehicle,car34,white,106.4684178,29.5107474,0.0,0.0
0,0,vehicle,car48,white,106.4687822,29.5091577,0.0,180.0
0,0,traffic_light,biglights3,green,106.4679594,29.5096164,0.0,90.0
0,0,traffic_light,renlights3,green,106.4679594,29.5096164,0.0,90.0
0,0,traffic_light,renlights4,green,106.4679594,29.5096164,0.0,90.0
0,0,traffic_light,biglights4,red,106.4679594,29.5096164,0.0,90.0
0,0,traffic_light,renlights1,red,106.4679594,29.5096164,0.0,90.0
0,0,traffic_light,renlights2,red,106.4679594,29.5096164,0.0,90.0
0,0,traffic_light,biglights2,red,106.4679594,29.5096164,0.0,90.0
0,0,traffic_light,renlights7,red,106.4679594,29.5096164,0.0,90.0
0,0,traffic_light,renlights8,red,106.4679594,29.5096164,0.0,90.0
0,0,traffic_light,renlights5,red,106.4679594,29.5096164,0.0,90.0
0,0,traffic_light,renlights6,red,106.4679594,29.5096164,0.0,90.0
0,0,traffic_light,biglights1,red,106.4679594,29.5096164,0.0,90.0
0,0,pedestrian,man1,white,106.4680458,29.5094270,0.0,90.0
0,0,pedestrian,man2,black,106.4680696,29.5094598,0.0,90.0
0,0,pedestrian,man3,pink,106.4680756,29.5094743,0.0,90.0
0,0,pedestrian,man4,white,106.4681106,29.5094598,0.0,90.0
0,0,pedestrian,man7,white,106.4689493,29.5095395,0.0,-90.0
0,0,pedestrian,man9,blue,106.4680716,29.5104392,0.0,90.0
0,0,pedestrian,man10,green,106.4680716,29.5104698,0.0,90.0
0,0,pedestrian,man11,white,106.4680939,29.5105072,0.0,90.0
0,0,pedestrian,man12,white,106.4688951,29.5104543,0.0,-90.0
0,0,pedestrian,man13,white,106.4688951,29.5104878,0.0,-90.0
0,0,pedestrian,man14,white,106.4678409,29.5102413,0.0,0.0
0,0,pedestrian,man16,blue,106.4677863,29.5102183,0.0,0.0
0,0,pedestrian,man18,white,106.4677616,29.5096834,0.0,180.0
0,1,vehicle,car1,pink,106.4676797,29.5099036,0.0,93.7
0,1,vehicle,car2,blue,106.4676820,29.5098250,0.0,90.0
0,1,vehicle,car3,yellow,106.4673075,29.5098474,0.0,92.5
0,1,vehicle,car4,black,106.4672019,29.5099058,0.0,90.0
0,1,vehicle,car6,red,106.4675366,29.5097419,0.0,88.9
0,1,vehicle,car7,black,106.4674568,29.5098306,0.0,90.0
0,1,vehicle,car10,cyan,106.4673900,29.5100834,0.0,-90.0
0,1,vehicle,car11,orange,106.4680456,29.5100728,0.0,-102.5
0,1,vehicle,car13,blue,106.4693553,29.5101127,0.0,-90.0
0,1,vehicle,car15,green,106.4693443,29.5100272,0.0,-90.0
0,1,vehicle,car30,black,106.4683163,29.5108064,0.0,0.0
0,1,vehicle,car31,cyan,106.4684178,29.5106429,0.0,0.0
0,1,vehicle,car32,black,106.4682116,29.5106283,0.0,0.0
0,1,vehicle,car44,white,106.4687822,29.5092865,0.0,180.0
0,1,vehicle,car42,red,106.4685732,29.5090028,0.0,180.0
0,1,vehicle,car34,white,106.4684178,29.5107474,0.0,0.0
0,1,vehicle,car48,white,106.4687822,29.5091577,0.0,180.0
0,1,traffic_light,biglights3,green,106.4679594,29.5096164,0.0,90.0
0,1,traffic_light,renlights3,green,106.4679594,29.5096164,0.0,90.0
0,1,traffic_light,renlights4,green,106.4679594,29.5096164,0.0,90.0
0,1,traffic_light,biglights4,red,106.4679594,29.5096164,0.0,90.0
0,1,traffic_light,renlights1,red,106.4679594,29.5096164,0.0,90.0
0,1,traffic_light,renlights2,red,106.4679594,29.5096164,0.0,90.0
0,1,traffic_light,biglights2,red,106.4679594,29.5096164,0.0,90.0
0,1,traffic_light,renlights7,red,106.4679594,29.5096164,0.0,90.0
0,1,traffic_light,renlights8,red,106.4679594,29.5096164,0.0,90.0
0,1,traffic_light,renlights5,red,106.4679594,29.5096164,0.0,90.0
0,1,traffic_light,renlights6,red,106.4679594,29.5096164,0.0,90.0
0,1,traffic_light,biglights1,red,106.4679594,29.5096164,0.0,90.0
0,1,pedestrian,man1,white,106.4680458,29.5094270,0.0,90.0
0,1,pedestrian,man2,black,106.4680696,29.5094598,0.0,90.0
0,1,pedestrian,man3,pink,106.4680756,29.5094743,0.0,90.0
0,1,pedestrian,man4,white,106.4681106,29.5094598,0.0,90.0
0,1,pedestrian,man7,white,106.4689493,29.5095395,0.0,-90.0
0,1,pedestrian,man9,blue,106.4680716,29.5104392,0.0,90.0
0,1,pedestrian,man10,green,106.4680716,29.5104698,0.0,90.0
0,1,pedestrian,man11,white,106.4680939,29.5105072,0.0,90.0
0,1,pedestrian,man12,white,106.4688951,29.5104543,0.0,-90.0
0,1,pedestrian,man13,white,106.4688951,29.5104878,0.0,-90.0
0,1,pedestrian,man14,white,106.4678409,29.5102413,0.0,0.0
0,1,pedestrian,man16,blue,106.4677863,29.5102183,0.0,0.0
0,1,pedestrian,man18,white,106.4677616,29.5096834,0.0,180.0
0,2,vehicle,car1,pink,106.4677349,29.5099026,0.0,97.5
0,2,vehicle,car2,blue,106.4677396,29.5098250,0.0,90.0
0,2,vehicle,car3,yellow,106.4673278,29.5098545,0.0,95.0
0,2,vehicle,car4,black,106.4672176,29.5099058,0.0,90.0
0,2,vehicle,car6,red,106.4675942,29.5097400,0.0,87.8
0,2,vehicle,car7,black,106.4675072,29.5098306,0.0,90.0
0,2,vehicle,car10,cyan,106.4673666,29.5100833,0.0,-90.0
0,2,vehicle,car11,orange,106.4680245,29.5100842,0.0,-100.0
0,2,vehicle,car13,blue,106.4693553,29.5101127,0.0,-90.0
0,2,vehicle,car15,green,106.4693443,29.5100272,0.0,-90.0
0,2,vehicle,car30,black,106.4683163,29.5107848,0.0,0.0
0,2,vehicle,car31,cyan,106.4684178,29.5106429,0.0,0.0
0,2,vehicle,car32,black,106.4682116,29.5106283,0.0,0.0
0,2,vehicle,car44,white,106.4687822,29.5092865,0.0,180.0
0,2,vehicle,car42,red,106.4685729,29.5090361,0.0,180.0
0,2,vehicle,car34,white,106.4684178,29.5107474,0.0,0.0
0,2,vehicle,car48,white,106.4687822,29.5091577,0.0,180.0
0,2,traffic_light,biglights3,green,106.4679594,29.5096164,0.0,90.0
0,2,traffic_light,renlights3,green,106.4679594,29.5096164,0.0,90.0
0,2,traffic_light,renlights4,green,106.4679594,29.5096164,0.0,90.0
0,2,traffic_light,biglights4,red,106.4679594,29.5096164,0.0,90.0
0,2,traffic_light,renlights1,red,106.4679594,29.5096164,0.0,90.0
0,2,traffic_light,renlights2,red,106.4679594,29.5096164,0.0,90.0
0,2,traffic_light,biglights2,red,106.4679594,29.5096164,0.0,90.0
0,2,traffic_light,renlights7,red,106.4679594,29.5096164,0.0,90.0
0,2,traffic_light,renlights8,red,106.4679594,29.5096164,0.0,90.0
0,2,traffic_light,renlights5,red,106.4679594,29.5096164,0.0,90.0
0,2,traffic_light,renlights6,red,106.4679594,29.5096164,0.0,90.0
0,2,traffic_light,biglights1,red,106.4679594,29.5096164,0.0,90.0
0,2,pedestrian,man1,white,106.4680458,29.5094270,0.0,90.0
0,2,pedestrian,man2,black,106.4680696,29.5094598,0.0,90.0
0,2,pedestrian,man3,pink,106.4680756,29.5094743,0.0,90.0
0,2,pedestrian,man4,white,106.4681106,29.5094598,0.0,90.0
0,2,pedestrian,man7,white,106.4689493,29.5095395,0.0,-90.0
0,2,pedestrian,man9,blue,106.4680716,29.5104392,0.0,90.0
0,2,pedestrian,man10,green,106.4680716,29.5104698,0.0,90.0
0,2,pedestrian,man11,white,106.4680939,29.5105072,0.0,90.0
0,2,pedestrian,man12,white,106.4688951,29.5104543,0.0,-90.0
0,2,pedestrian,man13,white,106.4688951,29.5104878,0.0,-90.0
0,2,pedestrian,man14,white,106.4678409,29.5102413,0.0,0.0
0,2,pedestrian,man16,blue,106.4677863,29.5102183,0.0,0.0
0,2,pedestrian,man18,white,106.4677616,29.5096834,0.0,180.0
1,0,vehicle,car1,pink,106.4677902,29.5099043,0.0,101.3
1,0,vehicle,car2,blue,106.4677972,29.5098250,0.0,90.0
1,0,vehicle,car3,yellow,106.4673480,29.5098617,0.0,97.5
1,0,vehicle,car4,black,106.4672334,29.5099058,0.0,90.0
1,0,vehicle,car6,red,106.4676519,29.5097382,0.0,86.7
1,0,vehicle,car7,black,106.4675577,29.5098306,0.0,90.0
1,0,vehicle,car10,cyan,106.4673432,29.5100833,0.0,-90.0
1,0,vehicle,car11,orange,106.4680016,29.5100926,0.0,-97.5
1,0,vehicle,car13,blue,106.4693553,29.5101127,0.0,-90.0
1,0,vehicle,car15,green,106.4693443,29.5100272,0.0,-90.0
1,0,vehicle,car30,black,106.4683163,29.5107631,0.0,0.0
1,0,vehicle,car31,cyan,106.4684178,29.5106429,0.0,0.0
1,0,vehicle,car32,black,106.4682116,29.5106283,0.0,0.0
1,0,vehicle,car44,white,106.4687822,29.5092865,0.0,180.0
1,0,vehicle,car42,red,106.4685726,29.5090695,0.0,180.0
1,0,vehicle,car34,white,106.4684178,29.5107474,0.0,0.0
1,0,vehicle,car48,white,106.4687822,29.5091577,0.0,180.0
1,0,traffic_light,biglights3,green,106.4679594,29.5096164,0.0,90.0
1,0,traffic_light,renlights3,green,106.4679594,29.5096164,0.0,90.0
1,0,traffic_light,renlights4,green,106.4679594,29.5096164,0.0,90.0
1,0,traffic_light,biglights4,red,106.4679594,29.5096164,0.0,90.0
1,0,traffic_light,renlights1,red,106.4679594,29.5096164,0.0,90.0
1,0,traffic_light,renlights2,red,106.4679594,29.5096164,0.0,90.0
1,0,traffic_light,biglights2,red,106.4679594,29.5096164,0.0,90.0
1,0,traffic_light,renlights7,red,106.4679594,29.5096164,0.0,90.0
1,0,traffic_light,renlights8,red,106.4679594,29.5096164,0.0,90.0
1,0,traffic_light,renlights5,red,106.4679594,29.5096164,0.0,90.0
1,0,traffic_light,renlights6,red,106.4679594,29.5096164,0.0,90.0
1,0,traffic_light,biglights1,red,106.4679594,29.5096164,0.0,90.0
1,0,pedestrian,man1,white,106.4680458,29.5094270,0.0,90.0
1,0,pedestrian,man2,black,106.4680696,29.5094598,0.0,90.0
1,0,pedestrian,man3,pink,106.4680756,29.5094743,0.0,90.0
1,0,pedestrian,man4,white,106.4681106,29.5094598,0.0,90.0
1,0,pedestrian,man7,white,106.4689493,29.5095395,0.0,-90.0
1,0,pedestrian,man9,blue,106.4680716,29.5104392,0.0,90.0
1,0,pedestrian,man10,green,106.4680716,29.5104698,0.0,90.0
1,0,pedestrian,man11,white,106.4680939,29.5105072,0.0,90.0
1,0,pedestrian,man12,white,106.4688951,29.5104543,0.0,-90.0
1,0,pedestrian,man13,white,106.4688951,29.5104878,0.0,-90.0
1,0,pedestrian,man14,white,106.4678409,29.5102413,0.0,0.0
1,0,pedestrian,man16,blue,106.4677863,29.5102183,0.0,0.0
1,0,pedestrian,man18,white,106.4677616,29.5096834,0.0,180.0
1,1,vehicle,car1,pink,106.4678452,29.5099088,0.0,105.0
1,1,vehicle,car2,blue,106.4678548,29.5098250,0.0,90.0
1,1,vehicle,car3,yellow,106.4673681,29.5098687,0.0,100.0
1,1,vehicle,car3,yellow,106.4673681,29.5098687,0.0,100.0
1,1,vehicle,car4,black,106.4672490,29.5099058,0.0,90.0
1,1,vehicle,car4,black,106.4672490,29.5099058,0.0,90.0
1,1,vehicle,car6,red,106.4677096,29.5097363,0.0,85.6
1,1,vehicle,car7,black,106.4676081,29.5098306,0.0,90.0
1,1,vehicle,car10,cyan,106.4673198,29.5100833,0.0,-90.0
1,1,vehicle,car11,orange,106.4679776,29.5100979,0.0,-95.0
1,1,vehicle,car13,blue,106.4693553,29.5101127,0.0,-90.0
1,1,vehicle,car15,green,106.4693443,29.5100272,0.0,-90.0
1,1,vehicle,car30,black,106.4683163,29.5107415,0.0,0.0
1,1,vehicle,car31,cyan,106.4684178,29.5106429,0.0,0.0
1,1,vehicle,car32,black,106.4682116,29.5106283,0.0,0.0
1,1,vehicle,car44,white,106.4687822,29.5092865,0.0,180.0
1,1,vehicle,car42,red,106.4685724,29.5091028,0.0,180.0
1,1,vehicle,car34,white,106.4684178,29.5107474,0.0,0.0
1,1,vehicle,car48,white,106.4687822,29.5091577,0.0,180.0
1,1,traffic_light,biglights3,green,106.4679594,29.5096164,0.0,90.0
1,1,traffic_light,renlights3,green,106.4679594,29.5096164,0.0,90.0
1,1,traffic_light,renlights4,green,106.4679594,29.5096164,0.0,90.0
1,1,traffic_light,biglights4,red,106.4679594,29.5096164,0.0,90.0
1,1,traffic_light,renlights1,red,106.4679594,29.5096164,0.0,90.0
1,1,traffic_light,renlights2,red,106.4679594,29.5096164,0.0,90.0
1,1,traffic_light,biglights2,red,106.4679594,29.5096164,0.0,90.0
1,1,traffic_light,renlights7,red,106.4679594,29.5096164,0.0,90.0
1,1,traffic_light,renlights8,red,106.4679594,29.5096164,0.0,90.0
1,1,traffic_light,renlights5,red,106.4679594,29.5096164,0.0,90.0
1,1,traffic_light,renlights6,red,106.4679594,29.5096164,0.0,90.0
1,1,traffic_light,biglights1,red,106.4679594,29.5096164,0.0,90.0
1,1,pedestrian,man1,white,106.4680747,29.5094270,0.0,90.0
1,1,pedestrian,man2,black,106.4680977,29.5094598,0.0,90.0
1,1,pedestrian,man3,pink,106.4681086,29.5094743,0.0,90.0
1,1,pedestrian,man4,white,106.4681419,29.5094598,0.0,90.0
1,1,pedestrian,man7,white,106.4689189,29.5095395,0.0,-90.0
1,1,pedestrian,man9,blue,106.4680716,29.5104392,0.0,90.0
1,1,pedestrian,man10,green,106.4680716,29.5104698,0.0,90.0
1,1,pedestrian,man11,white,106.4680939,29.5105072,0.0,90.0
1,1,pedestrian,man12,white,106.4688951,29.5104543,0.0,-90.0
1,1,pedestrian,man13,white,106.4688951,29.5104878,0.0,-90.0
1,1,pedestrian,man14,white,106.4678409,29.5102413,0.0,0.0
1,1,pedestrian,man16,blue,106.4677863,29.5102183,0.0,0.0
1,1,pedestrian,man18,white,106.4677616,29.5096834,0.0,180.0
1,2,vehicle,car1,pink,106.4678998,29.5099161,0.0,108.8
1,2,vehicle,car2,blue,106.4679125,29.5098250,0.0,90.0
1,2,vehicle,car3,yellow,106.4673876,29.5098734,0.0,98.0
1,2,vehicle,car4,black,106.4672490,29.5099058,0.0,90.0
1,2,vehicle,car6,red,106.4677672,29.5097345,0.0,84.4
1,2,vehicle,car7,black,106.4676586,29.5098306,0.0,90.0
1,2,vehicle,car10,cyan,106.4672964,29.5100833,0.0,-90.0
1,2,vehicle,car11,orange,106.4679529,29.5100999,0.0,-92.5
1,2,vehicle,car13,blue,106.4693553,29.5101127,0.0,-90.0
1,2,vehicle,car15,green,106.4693443,29.5100272,0.0,-90.0
1,2,vehicle,car30,black,106.4683163,29.5107199,0.0,0.0
1,2,vehicle,car31,cyan,106.4684178,29.5106429,0.0,0.0
1,2,vehicle,car32,black,106.4682116,29.5106283,0.0,0.0
1,2,vehicle,car44,white,106.4687822,29.5092865,0.0,180.0
1,2,vehicle,car42,red,106.4685721,29.5091362,0.0,180.0
1,2,vehicle,car34,white,106.4684178,29.5107474,0.0,0.0
1,2,vehicle,car48,white,106.4687822,29.5091577,0.0,180.0
1,2,traffic_light,biglights3,green,106.4679594,29.5096164,0.0,90.0
1,2,traffic_light,renlights3,green,106.4679594,29.5096164,0.0,90.0
1,2,traffic_light,renlights4,green,106.4679594,29.5096164,0.0,90.0
1,2,traffic_light,biglights4,red,106.4679594,29.5096164,0.0,90.0
1,2,traffic_light,renlights1,red,106.4679594,29.5096164,0.0,90.0
1,2,traffic_light,renlights2,red,106.4679594,29.5096164,0.0,90.0
1,2,traffic_light,biglights2,red,106.4679594,29.5096164,0.0,90.0
1,2,traffic_light,renlights7,red,106.4679594,29.5096164,0.0,90.0
1,2,traffic_light,renlights8,red,106.4679594,29.5096164,0.0,90.0
1,2,traffic_light,renlights5,red,106.4679594,29.5096164,0.0,90.0
1,2,traffic_light,renlights6,red,106.4679594,29.5096164,0.0,90.0
1,2,traffic_light,biglights1,red,106.4679594,29.5096164,0.0,90.0
1,2,pedestrian,man1,white,106.4681037,29.5094270,0.0,90.0
1,2,pedestrian,man2,black,106.4681259,29.5094598,0.0,90.0
1,2,pedestrian,man3,pink,106.4681416,29.5094744,0.0,90.0
1,2,pedestrian,man4,white,106.4681732,29.5094598,0.0,90.0
1,2,pedestrian,man7,white,106.4688885,29.5095395,0.0,-90.0
