times,series,type,obj_id,color,x,y,z,angle
0,0,vehicle,car1,pink,-46.613,-2.942,0,1.570796
0,0,vehicle,car2,blue,-46.627,-7.517,0,1.570796
0,0,vehicle,car3,yellow,-62.965,-6.662,0,1.570796
0,0,vehicle,car4,black,-67.869,-3.029,0,1.570796
0,0,vehicle,car6,red,-53.678,-12.016,0,1.570796
0,0,vehicle,car10,cyan,-56.847,6.808,0,-1.570796
0,0,vehicle,car11,orange,-25.291,5.431,0,-1.832596
0,0,vehicle,car13,blue,37.291,8.406,0,-1.570796
0,0,vehicle,car15,green,36.758,3.668,0,-1.570796
0,0,vehicle,car30,black,-13.066,48.067,0,0
0,0,vehicle,car31,cyan,-8.148,37.803,0,0
0,0,vehicle,car32,black,-18.143,37,0,0
0,0,vehicle,car44,white,9.495,-37.375,0,3.141593
0,0,vehicle,car42,red,-0.629,-54.943,0,3.141593
0,0,vehicle,car34,white,-8.148,43.596,0,0
0,0,vehicle,car48,white,9.495,-44.51,0,3.141593
0,0,traffic_light,biglights3,green,-30.389,-19.077,0,1.570796
0,0,traffic_light,renlights3,green,-30.389,-19.077,0,1.570796
0,0,traffic_light,renlights4,green,-30.389,-19.077,0,1.570796
0,0,traffic_light,biglights4,red,-30.389,-19.077,0,1.570796
0,0,traffic_light,renlights1,red,-30.389,-19.077,0,1.570796
0,0,traffic_light,renlights2,red,-30.389,-19.077,0,1.570796
0,0,traffic_light,biglights2,red,-30.389,-19.077,0,1.570796
0,0,traffic_light,renlights7,red,-30.389,-19.077,0,1.570796
0,0,traffic_light,renlights8,red,-30.389,-19.077,0,1.570796
0,0,traffic_light,renlights5,red,-30.389,-19.077,0,1.570796
0,0,traffic_light,renlights6,red,-30.389,-19.077,0,1.570796
0,0,traffic_light,biglights1,red,-30.389,-19.077,0,1.570796
0,0,pedestrian,man1,white,-26.203,-29.578,0,1.570796
0,0,pedestrian,man2,black,-25.049,-27.761,0,1.570796
